,city,iso3,lat,lon,FREQ,1st arrival,1st arrival transport,2nd arrival,2nd arrival transport,3rd arrival,3rd arrival transport,4th arrival,4th arrival transport
0,Dalian,CHN,38.9,121.6,1,1997-10-06,,,,,,,
1,Shenyang,CHN,41.8025,123.4281,1,2000-03-17,,,,,,,
2,Yantai (Penglai),CHN,37.4646,121.4478,1,2009-07-01,S,,,,,,
3,Tai'an,CHN,36.202,117.087,1,2009-07-01,B,,,,,,
4,Qingdao,CHN,36.0669,120.3827,1,2009-07-01,B,,,,,,
5,Jinan,CHN,36.6702,117.0207,1,2009-07-01,B,,,,,,
6,Beijing,CHN,39.9067,116.3975,2,2013-08-01,T,2016-12-04,F,,,,
7,Jilin,CHN,43.8519,126.5481,1,2016-07-01,T,,,,,,
8,Xi'an,CHN,34.2611,108.9422,1,2018-11-14,F,,,,,,
9,Chengdu,CHN,30.66,104.0633,1,2018-11-18,T,,,,,,
10,Chongqing,CHN,29.5637,106.5504,1,2018-11-21,T,,,,,,
11,Nice,FRA,43.7034,7.2663,1,2017-03-07,F,,,,,,
12,Villfranche-sur-Mer,FRA,43.705,7.3125,1,2017-03-07,T,,,,,,
13,Èze,FRA,43.72861,7.36167,2,2017-03-07,T,2019-11-09,T,,,,
14,Antibes,FRA,43.5808,7.1239,1,2017-03-07,,,,,,,
15,Cannes,FRA,43.5513,7.0128,1,2017-03-07,,,,,,,
16,Menton,FRA,43.775,7.5,1,2017-03-07,,,,,,,
17,Grasse,FRA,43.6667,6.9167,1,2017-03-07,,,,,,,
18,Marseille,FRA,43.2964,5.37,1,2020-06-26,B,,,,,,
19,Paris,FRA,48.8567,2.3522,4,2017-10-30,T,2020-08-05,F,2022-05-17,F,2024-02-20,F
20,Moscow,RUS,55.7558,37.6172,1,2017-03-07,A,,,,,,
21,Monaco (Monte Carlo),MCO,43.7333,7.4167,2,2017-04-17,T,2019-09-11,T,,,,
22,Ventimiglia,ITA,43.7903,7.6083,1,2017-06-03,T,,,,,,
23,Milan (Milano),ITA,45.4669,9.19,2,2017-06-03,T,2020-01-01,F,,,,
24,Pisa,ITA,43.7167,10.4,2,2017-06-04,T,2020-06-30,T,,,,
25,Venice (Venezia),ITA,45.4375,12.3358,2,2018-10-22,B,2020-07-03,T,,,,
26,Rimini,ITA,44.0594,12.5683,1,2018-10-23,B,,,,,,
27,Bologna,ITA,44.4939,11.3428,1,2019-12-21,B,,,,,,
28,Rome (Roma),ITA,41.8933,12.4828,2,2020-01-29,F,2023-05-02,T,,,,
29,Florence (Firenze),ITA,43.7714,11.2542,1,2020-06-30,T,,,,,,
30,Catania,ITA,37.5,15.0903,2,2021-07-05,F,2021-12-17,F,,,,
31,Rotterdam,NLD,51.92,4.48,1,2020-02-22,B,,,,,,
32,Istanbul,TUR,41.0136,28.955,1,2018-01-26,F,,,,,,
33,Kayseri (Cappadocia),TUR,38.7225,35.4875,1,2018-01-30,F,,,,,,
34,Lisbon (Lisboa),PRT,38.7253,-9.15,2,2018-03-04,F,2020-07-06,F,,,,
35,Porto,PRT,41.1621,-8.622,1,2018-03-07,F,,,,,,
36,Madrid,ESP,40.4169,-3.7033,2,2018-03-08,F,2023-08-20,F,,,,
37,Barcelona,ESP,41.3828,2.1769,1,2019-10-28,F,,,,,,
38,Las Palmas (Gran Canaria),ESP,28.1258,-15.4353,1,2020-07-16,F,,,,,,
39,Santa Cruz (Tenerife),ESP,28.4667,-16.25,3,2020-07-18,F,2021-07-30,F,2021-11-02,F,,
40,Palma (Palma de Mallorca),ESP,39.5667,2.65,1,2021-07-28,F,,,,,,
41,Fès,MAR,34.0433,-5.0033,2,2018-04-20,F,2023-03-11,F,,,,
42,Chefchaouene,MAR,35.1714,-5.2697,1,2018-04-21,B,,,,,,
43,Tangier,MAR,35.7767,-5.8039,1,2018-04-23,B,,,,,,
44,Rabat,MAR,34.0209,-6.8416,1,2018-04-24,B,,,,,,
45,Casablanca,MAR,33.5333,-7.5833,1,2018-04-24,T,,,,,,
46,Marrakech,MAR,31.63,-8.0089,1,2018-04-25,T,,,,,,
47,Merzouga (Sahara),MAR,31.09917,4.01167,1,2018-04-27,B,,,,,,
48,Schwangau,DEU,47.58306,10.73306,2,2018-10-04,B,2020-08-22,T,,,,
49,Česky Krumlov,CZE,48.8111,14.3153,1,2018-10-05,B,,,,,,
50,Prague (Praha),CZE,50.0875,14.4214,2,2018-10-06,B,2020-02-27,B,,,,
51,Warsaw (Warszawa),POL,52.23,21.0111,2,2018-10-09,B,2020-07-12,T,,,,
52,Kraków,POL,50.0614,19.9372,2,2018-10-10,B,2020-07-10,F,,,,
53,Wieliczka (Wieliszka),POL,49.9894,20.0661,1,2018-10-11,B,,,,,,
54,Oświęcim,POL,50.0381,19.2214,1,2018-10-12,B,,,,,,
55,Wroclaw (Wrocław),POL,51.11,17.0325,1,2021-07-12,B,,,,,,
56,Budapest,HUN,47.4925,19.0514,2,2018-10-13,B,2020-02-24,F,,,,
57,Belgrade,SRB,44.82,20.46,2,2018-10-15,B,2023-03-03,F,,,,
58,Sarajevo,BIH,43.8564,18.4131,1,2018-10-16,B,,,,,,
59,Dubrovnik,HRV,42.6403,18.1083,1,2018-10-17,B,,,,,,
60,Split,HRV,43.51,16.44,1,2018-10-18,B,,,,,,
61,Pula,HRV,44.8703,13.8456,1,2018-10-19,B,,,,,,
62,Rovinj,HRV,45.0833,13.6333,1,2018-10-19,B,,,,,,
63,Zagreb,HRV,45.8131,15.9775,1,2018-10-20,B,,,,,,
64,Ljubljana,SVN,46.0514,14.5061,1,2018-10-22,B,,,,,,
65,Bled,SVN,46.3688,14.114,1,2018-10-22,B,,,,,,
66,San Marino,SMR,43.9346,12.4473,1,2018-10-24,B,,,,,,
67,Zürich,CHE,47.3744,8.5411,1,2018-11-08,B,,,,,,
68,Geneva (Genève),CHE,46.2017,6.1469,2,2020-01-03,T,2023-07-14,F,,,,
69,Montreux,CHE,46.435,6.9125,1,2020-01-02,B,,,,,,
70,Kutaisi,GEO,42.25,42.7,1,2019-12-21,F,,,,,,
71,Tbilisi,GEO,41.7225,44.7925,1,2019-12-21,B,,,,,,
72,Munich (München),DEU,48.1375,11.575,2,2018-10-04,B,2020-08-22,F,,,,
73,Berlin,DEU,52.52,13.405,1,2019-10-26,B,,,,,,
74,Frankfurt (am Main),DEU,50.1106,8.6822,1,2020-08-12,T,,,,,,
75,Heidelberg,DEU,49.4167,8.7167,1,2020-08-11,T,,,,,,
76,Cologne (Köln),DEU,50.9364,6.9528,1,2020-08-13,T,,,,,,
77,Hamburg,DEU,53.55,10.0,2,2019-10-26,F,2020-08-14,T,,,,
78,Freiburg im Breisgau,DEU,47.995,7.85,1,2021-10-30,B,,,,,,
79,Yerevan,ARM,40.1814,44.5144,1,2019-12-23,T,,,,,,
80,Tehran,IRN,35.6892,51.3889,1,2019-12-24,B,,,,,,
81,Esfahan,IRN,32.6447,51.6675,1,2019-12-25,B,,,,,,
82,Shiraz,IRN,29.61,52.5425,1,2019-12-27,B,,,,,,
83,Baku,AZE,40.3953,49.8822,1,2019-12-29,B,,,,,,
84,Bucharest (București),ROU,44.4325,26.1039,1,2020-01-23,F,,,,,,
85,Sofia,BGR,42.7,23.33,1,2020-01-24,B,,,,,,
86,Valletta,MLT,35.8983,14.5125,1,2020-01-30,F,,,,,,
87,Dingli,MLT,35.8603,14.3814,1,2020-01-30,B,,,,,,
88,Vatican City,VAT,41.904,12.453,1,2020-02-01,W,,,,,,
89,Brussels (Bruxelles),BEL,50.8467,4.3525,1,2020-02-22,F,,,,,,
90,Athens,GRC,37.9842,23.7281,1,2020-01-25,F,,,,,,
91,Santorini (Fira),GRC,36.38806,25.45972,1,2020-01-26,F,,,,,,
92,Salzburg,AUT,47.8,13.045,1,2020-02-29,B,,,,,,
93,Vienna (Wien),AUT,48.2083,16.3725,3,2020-02-29,T,2020-08-24,T,2021-07-11,F,,
94,Copenhagen (København),DNK,55.6761,12.5683,1,2020-08-18,T,,,,,,
95,Malmö,SWE,55.6058,13.0358,1,2020-08-18,T,,,,,,
96,Tirana,ALB,41.3289,19.8178,1,2021-07-07,F,,,,,,
97,Ohrid,MKD,41.1169,20.8019,1,2021-07-08,B,,,,,,
98,Bratislava,SVK,48.1439,17.1097,1,2021-07-11,B,,,,,,
99,Lviv,UKR,49.8425,24.0322,1,2021-07-12,F,,,,,,
100,Odesa (Odessa),UKR,46.4775,30.7326,1,2021-07-14,T,,,,,,
101,Kyiv,UKR,50.45,30.5233,1,2021-07-16,B,,,,,,
102,Amman,JOR,31.9497,35.9328,1,2021-07-19,F,,,,,,
103,Wadi Musa,JOR,30.32,35.4783,1,2021-07-21,B,,,,,,
104,Paphos,CYP,34.7667,32.4167,1,2021-07-24,F,,,,,,
105,Larnaca,CYP,34.9167,33.6333,1,2021-07-27,B,,,,,,
106,Aswan,EGY,24.0889,32.8997,1,2021-08-05,F,,,,,,
107,Abu Simbel,EGY,22.33694,31.62556,1,2021-08-07,B,,,,,,
108,Luxor,EGY,25.6967,32.6444,1,2021-08-08,B,,,,,,
109,Al Ghardaqah (Hurghada),EGY,27.2578,33.8117,2,2021-08-10,B,2022-12-28,B,,,,
110,Cairo,EGY,30.0444,31.2358,2,2021-08-12,B,2022-12-24,F,,,,
111,Giza,EGY,29.987,31.2118,2,2021-08-12,B,2022-12-26,B,,,,
112,Alexandria,EGY,31.1975,29.8925,1,2021-08-04,F,,,,,,
113,Helsinki,FIN,60.1708,24.9375,1,2021-12-26,A,,,,,,
114,Hong Kong,HKG,22.3,114.2,2,2021-12-27,F,2023-07-17,F,,,,
115,Dubai,ARE,25.2631,55.2972,1,2022-03-17,F,,,,,,
116,Kerkyra (Corfu),GRC,39.6239,19.9214,1,2022-06-25,F,,,,,,
117,Sarande (Sarandë),ALB,39.875,20.01,1,2022-06-25,S,,,,,,
118,London,GBR,51.5072,-0.1275,3,2017-06-28,A,2022-09-08,F,2022-10-01,F,,
119,Shannon,IRL,52.7137,-8.8686,1,2022-09-24,F,,,,,,
120,Dublin,IRL,53.35,-6.2603,2,2022-09-24,B,2022-11-11,F,,,,
121,Limerick,IRL,52.6653,-8.6238,1,2022-09-24,B,,,,,,
122,Edinburgh,GBR,55.9533,-3.1892,1,2022-10-07,F,,,,,,
123,Naples,ITA,40.8333,14.25,3,2023-01-01,F,2022-09-08,F,2022-10-01,F,,
124,Olbia,ITA,40.9167,9.5,1,2023-04-28,F,,,,,,
125,Cagliari,ITA,39.2278,9.1111,1,2023-04-29,T,,,,,,
126,Tallinn,EST,59.4372,24.7453,1,2023-05-17,F,,,,,,
127,Stockholm,SWE,59.3294,18.0686,1,2023-05-19,F,,,,,,
128,Kuala Lumpur,MYS,3.1478,101.6953,1,2023-07-15,F,,,,,,
129,Macau,MAC,22.2006,113.5461,1,2023-07-20,B,,,,,,
130,Yogyakarta,IDN,-7.8014,110.3644,1,2023-07-22,F,,,,,,
131,George Town (Penang),MYS,5.4144,100.3292,1,2023-07-26,F,,,,,,
132,Kuah (Langkawi),MYS,6.3167,99.85,1,2023-07-27,F,,,,,,
133,Siem Reap,KHM,13.3622,103.8597,1,2023-07-28,F,,,,,,
134,Bangkok,THA,13.7525,100.4942,3,2022-03-16,A,2023-07-30,F,2023-10-23,F,,
135,Chiang Mai,THA,18.7953,98.9986,1,2023-08-01,F,,,,,,
136,Tokyo,JPN,35.6897,139.6922,1,2023-08-03,F,,,,,,
137,Osaka,JPN,34.6939,135.5022,1,2023-08-09,F,,,,,,
138,Singapore,SGP,1.3,103.8,1,2023-08-14,F,,,,,,
139,Kota Kinabalu,MYS,5.975,116.0725,1,2023-08-15,F,,,,,,
140,Johor Bahru,MYS,1.4556,103.7611,1,2023-08-17,F,,,,,,
141,Seoul,KOR,37.56,126.99,1,2023-09-30,F,,,,,,
142,Muscat,OMN,23.6139,58.5922,1,2023-11-05,F,,,,,,
143,Abu Dhabi,ARE,24.4667,54.3667,1,2023-11-07,F,,,,,,
144,Samarkand,UZB,39.6547,66.9758,1,2023-11-09,F,,,,,,
145,Almaty,KAZ,43.24,76.915,1,2023-11-11,F,,,,,,
146,Astana (Nur-Sultar),KAZ,51.1472,71.4222,1,2023-11-13,F,,,,,,
147,Valencia,ESP,39.47,-0.3764,1,2023-12-23,F,,,,,,
148,Sevilla,ESP,37.39,-5.99,1,2023-12-24,F,,,,,,
149,Malaga,ESP,36.7194,-4.42,1,2023-12-29,T,,,,,,
150,Amsterdam,NLD,52.3728,4.8936,2,2018-01-26,A,2024-01-28,F,,,,
151,Victoria (Mahe),SYC,-4.6231,55.4525,1,2024-01-29,F,,,,,,
152,The Hague (Den Haag),NLD,52.08,4.31,1,2020-02-24,T,,,,,,
153,Genoa,ITA,44.4111,8.9328,1,2022-04-15,T,,,,,,
154,Colmar,FRA,48.0817,7.3556,1,2021-11-01,B,,,,,,
